surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
no,adult,526639,37.5,48.0,24.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,lived,no,0,0,0,no
yes,adult,5290481,37.6,64.0,21.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,5.0,increased,distend_large,40.0,7.0,clear,2.3,lived,yes,4205,0,0,yes
no,adult,532110,39.4,110.0,35.0,cold,reduced,dark_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,absent,distend_large,55.0,8.7,cloudy,2.3,lived,no,0,0,0,no
yes,adult,530157,39.9,72.0,60.0,normal,normal,bright_red,more_3_sec,extreme_pain,absent,severe,significant,none,5.0,absent,distend_small,46.0,6.1,cloudy,2.3,lived,yes,2111,0,0,no
no,adult,529340,38.4,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,5.5,absent,firm,49.0,6.8,cloudy,2.3,lived,no,0,0,0,no
yes,adult,521681,38.6,42.0,34.0,warm,normal,pale_cyanotic,less_3_sec,depressed,hypomotile,none,slight,none,5.0,normal,distend_large,48.0,7.2,cloudy,2.3,lived,yes,3111,0,0,no
yes,young,534998,38.3,130.0,60.0,cool,reduced,normal_pink,less_3_sec,depressed,absent,none,slight,none,5.0,absent,distend_large,50.0,70.0,cloudy,2.3,lived,yes,3111,0,0,no
yes,adult,533692,38.1,60.0,12.0,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,significant,less_1_liter,2.0,absent,distend_large,51.0,65.0,cloudy,2.3,lived,yes,3111,0,0,no
no,adult,529518,37.8,60.0,42.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,lived,no,0,0,0,no
yes,adult,530526,38.3,72.0,30.0,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,decreased,distend_large,43.0,7.0,cloudy,3.9,lived,yes,3111,0,0,yes
yes,adult,528653,37.8,48.0,12.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,normal,firm,37.0,5.5,cloudy,1.3,lived,no,4122,0,0,yes
yes,adult,5279442,38.2,64.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,died,no,4300,0,0,no
no,adult,535415,37.7,48.0,25.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,absent,distend_large,45.0,76.0,cloudy,2.3,lived,no,0,0,0,no
no,adult,529475,37.7,96.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4.0,absent,distend_large,66.0,7.5,cloudy,2.3,died,yes,4205,0,0,no
no,adult,530242,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.0,decreased,firm,52.0,8.2,serosanguious,7.4,euthanized,yes,2207,0,0,yes
yes,adult,529427,37.2,60.0,25.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,absent,distend_large,43.0,6.6,cloudy,2.3,lived,yes,2209,0,0,no
yes,adult,529663,38.2,64.0,28.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,5.0,absent,distend_small,49.0,8.6,cloudy,6.6,lived,yes,2208,0,0,yes
yes,adult,529796,38.2,100.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,5.0,absent,distend_small,52.0,6.6,cloudy,2.3,lived,yes,1124,0,0,no
no,adult,528812,38.2,104.0,24.0,cold,reduced,pale_pink,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.0,absent,other,73.0,8.4,cloudy,2.3,euthanized,yes,7111,0,0,no
no,adult,529493,38.3,112.0,16.0,cool,reduced,bright_red,more_3_sec,mild_pain,hypomotile,none,none,less_1_liter,5.0,absent,distend_large,51.0,6.0,cloudy,1.0,euthanized,no,5205,0,0,yes
yes,adult,533847,37.8,72.0,25.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,normal,normal,56.0,80.0,clear,2.0,lived,yes,3111,0,0,no
no,adult,528996,38.6,52.0,25.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,normal,firm,32.0,6.6,clear,5.0,lived,no,0,0,0,yes
yes,young,5277409,39.2,146.0,96.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,died,yes,2113,0,0,no
yes,adult,529498,38.2,88.0,25.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,5.0,absent,distend_large,63.0,6.5,serosanguious,2.3,died,yes,4205,0,0,no
no,young,5288249,39.0,150.0,72.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,47.0,8.5,cloudy,0.1,lived,yes,9400,0,0,yes
no,adult,530301,38.0,60.0,12.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,none,none,5.0,increased,other,47.0,7.0,cloudy,2.3,lived,no,3111,0,0,no
yes,adult,534069,38.2,120.0,25.0,cool,absent,pale_cyanotic,less_3_sec,severe_pain,absent,severe,none,none,5.0,absent,distend_large,52.0,67.0,cloudy,2.0,euthanized,yes,3205,0,0,no
yes,adult,535407,35.4,140.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,none,slight,none,5.0,absent,distend_large,57.0,69.0,serosanguious,2.0,euthanized,yes,3205,0,0,no
no,adult,529827,38.2,120.0,25.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,5.0,absent,distend_large,60.0,6.5,serosanguious,2.3,died,yes,3205,0,0,no
yes,adult,529888,37.9,60.0,15.0,cool,normal,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,less_1_liter,5.0,absent,distend_large,65.0,7.5,cloudy,2.3,lived,yes,2305,0,0,yes
no,adult,529821,37.5,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,normal,distend_large,37.0,6.5,cloudy,2.3,lived,no,0,0,0,no
yes,adult,528890,38.9,80.0,44.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,decreased,normal,54.0,6.5,serosanguious,2.3,died,yes,7111,0,0,no
no,adult,529642,37.2,84.0,48.0,cool,reduced,bright_red,more_3_sec,severe_pain,hypermotile,slight,none,less_1_liter,5.0,increased,normal,73.0,5.5,cloudy,4.1,died,no,4300,0,0,yes
no,adult,529766,38.6,46.0,25.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,none,none,5.0,absent,other,49.0,9.1,clear,1.6,lived,no,3111,0,0,yes
yes,adult,527706,37.4,84.0,36.0,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,absent,distend_large,45.0,7.5,serosanguious,2.3,died,yes,7209,0,0,yes
no,adult,529483,38.2,64.0,25.0,normal,normal,pale_pink,less_3_sec,alert,hypomotile,none,slight,none,5.0,increased,other,43.0,7.7,cloudy,2.3,lived,no,3111,0,0,no
no,adult,530544,38.6,40.0,20.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,41.0,6.4,cloudy,2.3,lived,no,3111,0,0,yes
no,adult,529461,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,distend_large,57.0,8.1,serosanguious,4.5,euthanized,yes,7400,0,0,yes
yes,young,5282839,38.6,160.0,20.0,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,severe,significant,none,5.0,absent,distend_large,38.0,7.5,cloudy,2.3,died,yes,7111,0,0,yes
yes,adult,528872,38.2,64.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,24.0,6.7,cloudy,2.3,lived,yes,3112,0,0,no
yes,adult,529640,38.2,64.0,36.0,warm,normal,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,5.0,absent,distend_large,42.0,7.7,cloudy,2.3,died,yes,3209,0,0,no
yes,adult,528298,38.2,64.0,20.0,cold,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,none,5.0,absent,distend_small,53.0,5.9,serosanguious,2.3,died,yes,3205,0,0,yes
no,adult,528904,38.2,96.0,25.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,none,less_1_liter,5.0,absent,distend_large,60.0,7.5,cloudy,2.3,died,yes,4205,0,0,no
no,adult,530438,37.8,48.0,32.0,normal,normal,pale_pink,less_3_sec,depressed,hypermotile,none,none,none,5.0,absent,distend_large,37.0,6.7,cloudy,2.3,lived,no,2124,0,0,no
no,adult,527957,38.5,60.0,25.0,warm,increased,normal_pink,less_3_sec,alert,normal,slight,slight,none,5.0,normal,normal,44.0,7.7,cloudy,2.3,lived,no,0,0,0,no
yes,adult,528630,37.8,88.0,22.0,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,64.0,8.0,clear,6.0,died,yes,3205,0,0,yes
no,adult,534293,38.2,130.0,16.0,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,none,5.0,absent,distend_large,65.0,82.0,cloudy,2.0,euthanized,no,2209,1400,0,no
yes,adult,529667,39.0,64.0,36.0,cool,normal,pale_cyanotic,more_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,7.0,absent,distend_large,44.0,7.5,serosanguious,5.0,lived,yes,2113,0,0,yes
yes,adult,534885,38.2,60.0,36.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,decreased,distend_small,26.0,72.0,cloudy,1.0,lived,yes,2208,0,0,no
no,adult,534784,37.9,72.0,25.0,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,none,none,more_1_liter,2.0,decreased,distend_small,58.0,74.0,clear,2.0,lived,yes,2322,0,0,no
no,adult,528931,38.4,54.0,24.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,5.0,decreased,other,49.0,7.2,clear,2.3,lived,no,3111,0,0,yes
no,adult,529777,38.2,52.0,16.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,5.5,absent,distend_large,55.0,7.2,cloudy,2.3,lived,no,2124,0,0,no
no,adult,530276,38.0,48.0,12.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,none,5.0,decreased,other,42.0,6.3,cloudy,4.1,lived,no,3111,0,0,yes
no,adult,528214,37.0,60.0,20.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.5,absent,distend_small,43.0,7.6,cloudy,2.3,euthanized,yes,2209,0,0,yes
yes,adult,529424,37.8,48.0,28.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,5.0,normal,normal,46.0,5.9,cloudy,7.0,lived,no,0,0,0,yes
yes,adult,5299253,37.7,56.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,died,yes,2113,0,0,no
yes,adult,528469,38.1,52.0,24.0,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,7.0,normal,distend_large,54.0,7.5,cloudy,2.6,died,yes,2112,0,0,yes
yes,young,5292929,38.2,64.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,37.0,4.9,cloudy,2.3,died,yes,11124,0,0,no
yes,young,534092,39.7,100.0,25.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,none,slight,none,5.0,absent,distend_large,48.0,57.0,cloudy,2.0,euthanized,yes,1400,0,0,no
yes,adult,534615,37.6,38.0,20.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,decreased,distend_large,37.0,68.0,cloudy,2.3,lived,yes,3205,0,0,no
no,adult,534753,38.7,52.0,20.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,normal,normal,33.0,77.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,530693,38.2,64.0,25.0,cool,reduced,pale_pink,3,extreme_pain,hypomotile,moderate,significant,less_1_liter,5.0,absent,distend_large,46.0,5.9,cloudy,2.3,died,yes,3025,0,0,no
yes,adult,527463,37.5,96.0,18.0,normal,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5.0,absent,distend_small,69.0,8.9,serosanguious,2.3,lived,yes,2208,0,0,yes
yes,adult,527518,36.4,98.0,35.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,slight,slight,none,5.0,absent,distend_small,47.0,6.4,serosanguious,3.6,died,yes,2205,0,0,yes
yes,adult,534756,37.3,40.0,25.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,significant,none,5.0,decreased,distend_large,36.0,7.5,serosanguious,2.0,lived,yes,3111,0,0,no
yes,young,5290759,38.1,100.0,80.0,cool,normal,bright_pink,less_3_sec,mild_pain,absent,none,slight,none,5.0,normal,distend_large,36.0,5.7,cloudy,2.3,lived,yes,3111,0,0,no
yes,adult,5279822,38.0,64.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,severe,none,none,5.0,absent,distend_large,68.0,7.8,cloudy,2.3,died,yes,3205,0,0,no
yes,adult,529849,37.8,60.0,80.0,normal,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,5.5,absent,distend_large,40.0,4.5,cloudy,2.3,lived,yes,5206,0,0,yes
no,adult,529304,38.0,54.0,30.0,warm,reduced,pale_pink,3,mild_pain,hypermotile,slight,slight,less_1_liter,5.0,absent,distend_small,45.0,6.2,cloudy,2.3,lived,no,400,0,0,no
yes,adult,529388,38.2,88.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,none,5.0,absent,distend_large,50.0,7.7,serosanguious,1.4,died,yes,4205,0,0,yes
no,adult,528006,38.2,40.0,16.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,50.0,7.0,cloudy,3.9,euthanized,yes,2208,0,0,yes
no,adult,529703,39.0,64.0,40.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,decreased,firm,42.0,7.5,cloudy,2.3,lived,no,5000,0,0,yes
no,adult,535381,38.3,42.0,10.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,absent,distend_large,38.0,61.0,cloudy,2.3,lived,no,0,0,0,no
no,adult,534197,38.0,52.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,1.0,normal,normal,53.0,86.0,cloudy,2.3,lived,yes,2322,0,0,no
no,adult,529461,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,distend_large,57.0,8.1,serosanguious,4.5,died,yes,3205,0,0,yes
no,adult,530251,38.8,50.0,20.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,decreased,normal,42.0,6.2,cloudy,2.3,lived,no,0,0,0,no
no,adult,530310,38.2,64.0,25.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,5.0,absent,distend_large,38.0,6.5,cloudy,2.3,died,yes,3205,0,0,no
no,adult,528729,37.5,48.0,30.0,cold,normal,pale_pink,less_3_sec,mild_pain,normal,none,none,none,5.0,normal,normal,48.0,8.6,cloudy,2.3,lived,no,0,0,0,no
yes,adult,535158,37.3,48.0,20.0,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,decreased,distend_large,41.0,69.0,cloudy,2.3,lived,yes,3205,0,0,no
no,adult,530319,38.2,84.0,36.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,decreased,other,44.0,8.5,cloudy,2.3,lived,yes,3111,0,0,no
yes,adult,534145,38.1,88.0,32.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,1.0,absent,distend_large,55.0,60.0,cloudy,2.3,euthanized,no,3205,0,0,no
no,adult,534135,37.7,44.0,40.0,warm,normal,pale_pink,less_3_sec,alert,hypomotile,slight,none,none,5.0,normal,distend_large,41.0,60.0,cloudy,2.3,lived,no,0,0,0,no
no,adult,530002,39.6,108.0,51.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,less_1_liter,5.0,decreased,distend_large,59.0,8.0,cloudy,2.6,lived,no,4300,0,0,yes
yes,adult,535364,38.2,40.0,16.0,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,5.0,normal,normal,34.0,66.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,534899,38.2,60.0,20.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,euthanized,yes,3205,0,0,no
no,adult,534938,38.3,40.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,5.0,absent,distend_large,37.0,57.0,cloudy,2.3,lived,no,0,0,0,no
yes,young,5292489,38.0,140.0,68.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,increased,normal,39.0,5.3,cloudy,2.3,lived,yes,7111,0,0,no
yes,adult,527563,37.8,52.0,24.0,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,none,slight,more_1_liter,5.7,increased,distend_large,48.0,6.6,clear,3.7,died,yes,5400,0,0,no
yes,adult,530381,38.2,70.0,36.0,normal,normal,pale_pink,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,absent,distend_large,36.0,7.3,cloudy,2.3,lived,yes,31110,0,0,no
yes,adult,528668,38.3,52.0,96.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,none,none,none,5.0,normal,distend_large,43.0,6.1,cloudy,2.3,lived,yes,3209,0,0,yes
no,adult,529764,37.3,50.0,32.0,normal,normal,pale_pink,less_3_sec,alert,hypomotile,slight,slight,none,5.0,normal,distend_large,44.0,7.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,533696,38.7,60.0,32.0,cold,reduced,bright_pink,more_3_sec,severe_pain,absent,severe,slight,none,5.0,absent,distend_large,53.0,64.0,serosanguious,2.0,euthanized,yes,3205,0,0,no
yes,young,5297379,38.4,84.0,40.0,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,5.0,absent,distend_large,36.0,6.6,cloudy,2.8,died,yes,2205,0,0,yes
yes,adult,527544,38.2,70.0,16.0,cool,absent,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,absent,distend_large,60.0,7.5,cloudy,2.3,died,yes,2112,0,0,no
yes,adult,533736,38.3,40.0,16.0,cool,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,none,5.0,absent,distend_large,38.0,58.0,clear,2.0,lived,yes,3111,7111,0,no
yes,adult,534963,38.2,40.0,25.0,warm,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,none,5.0,absent,distend_large,39.0,56.0,cloudy,2.3,lived,yes,3111,0,0,no
yes,adult,527933,36.8,60.0,28.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,10.0,died,yes,3205,0,0,yes
yes,adult,532349,38.4,44.0,24.0,cool,normal,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,none,5.0,absent,distend_large,50.0,77.0,cloudy,2.3,lived,yes,3205,0,0,no
no,adult,533723,38.2,64.0,40.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.0,absent,distend_large,45.0,70.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,535208,38.0,44.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,absent,distend_large,42.0,65.0,cloudy,2.3,lived,yes,3205,3111,0,no
no,adult,5290482,39.5,64.0,25.0,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.5,absent,distend_large,45.0,6.7,clear,2.3,euthanized,yes,4205,0,0,no
yes,adult,533983,36.5,78.0,30.0,normal,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,absent,distend_large,34.0,75.0,cloudy,1.0,lived,yes,3112,6112,0,no
no,adult,535166,38.1,56.0,20.0,warm,normal,bright_pink,less_3_sec,alert,hypomotile,none,none,none,5.0,absent,distend_large,46.0,70.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,528682,39.4,54.0,66.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,none,none,5.0,decreased,distend_small,39.0,6.0,cloudy,2.3,lived,yes,2206,0,0,yes
yes,adult,534556,38.3,80.0,40.0,cool,normal,dark_cyanotic,more_3_sec,severe_pain,hypomotile,none,slight,less_1_liter,5.0,normal,distend_small,67.0,10.2,cloudy,1.0,euthanized,yes,2208,0,0,no
no,adult,534579,38.7,40.0,28.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,5.0,normal,distend_large,39.0,62.0,clear,1.0,lived,no,0,0,0,no
yes,adult,530360,38.2,64.0,24.0,normal,normal,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,5.0,absent,distend_small,45.0,7.5,clear,2.0,died,yes,3205,0,0,yes
no,adult,529840,37.6,48.0,20.0,cool,normal,pale_cyanotic,less_3_sec,alert,hypermotile,moderate,slight,none,5.0,normal,normal,37.0,5.5,cloudy,2.3,euthanized,yes,2205,0,0,no
yes,adult,528461,38.0,42.0,68.0,cold,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,5.0,absent,distend_small,41.0,7.6,cloudy,2.3,lived,yes,2205,0,0,no
yes,adult,530384,38.7,64.0,25.0,cool,normal,pale_pink,less_3_sec,extreme_pain,absent,slight,slight,none,5.0,absent,distend_large,33.0,6.5,cloudy,2.3,lived,yes,31110,0,0,no
yes,adult,5262541,37.4,50.0,32.0,cool,reduced,normal_pink,less_3_sec,severe_pain,absent,none,slight,none,5.0,normal,distend_large,45.0,7.9,cloudy,1.0,lived,yes,2208,0,0,yes
yes,adult,535330,37.4,84.0,20.0,cool,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,5.0,absent,distend_large,31.0,61.0,cloudy,1.0,euthanized,no,2208,0,0,no
yes,adult,527698,38.4,49.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,44.0,7.6,cloudy,2.3,lived,yes,2206,0,0,no
yes,adult,528964,37.8,30.0,12.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,died,yes,2113,0,0,no
